,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
NascutiVii,0.9600101453500979,0.21444171518488453,0.15533437790216817,0.01017471300152141,-0.06396058056583952,-0.017515066492885922,-0.03584675906776747,0.0,0.0,0.0
NascutiViiRo,0.9598784301510989,0.20951300021650407,0.16093452417823084,0.00473138964255865,-0.0654661131815691,-0.016071344821100945,-0.04013706898140094,0.0,0.0,0.0
Decedati,0.9850882571793588,-0.11309511599371652,0.08860774946832413,0.007190366529841894,-0.05723873890088925,0.053132271886583426,0.01593107993548016,0.0,0.0,0.0
DecedatiRo,0.985467100431184,-0.11443183400536788,0.08481791281830142,0.0021848340976553357,-0.05562251638736333,0.051104129781859346,0.018402550713952127,0.0,0.0,0.0
DecedatiSubUnAn,0.7215869173619917,0.4249763262145543,-0.49074617460581815,-0.20799682976785516,-0.04850661361210421,-0.003970008029193716,0.00508388512176096,0.0,0.0,0.0
NascutiMorti,0.6926819300185204,0.30676708997853874,-0.34104012187349525,0.290107905265008,0.0543837419876497,0.0026894942772558547,-0.0005348624666342818,0.0,0.0,0.0
Casatorii,0.9580921131337627,0.1744398891730419,0.1999631987494128,0.017052270048061213,-0.01462573141107826,-0.05805801652353203,0.0532444456599585,0.0,0.0,0.0
Divorturi,0.9480734872553191,0.09156476637948785,0.11053111123860065,-0.09332246195355394,0.2582311845446474,0.010253530450495882,-0.007636162757675785,0.0,0.0,0.0
SporNatural,-0.6374788195167262,0.7574794683667576,0.12828530202260977,-0.00030250416094174077,0.0026358456902455707,0.011715179487203806,0.013452163644920922,0.0,0.0,0.0
SporNaturalRez,-0.6144018222658134,0.7698668943364122,0.16067520849333725,0.004010828504232181,-0.005930552355658517,0.02618235889872655,-0.0010016003157187442,0.0,0.0,0.0
