,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
NascutiVii,0.9111980855113794,0.18499715058627836,0.35098586880606697,0.0874315833909712,-0.030756724996302214,-0.01551254653068562,0.03149399645785796,0.0,0.0,0.0
NascutiViiRo,0.9130237929425575,0.18803205335593692,0.34546428473945856,0.08080487127790904,-0.030831034387524388,-0.015598947397087363,0.036087543457664815,0.0,0.0,0.0
Decedati,0.8129177686704677,0.49612026128964837,0.2807618634186032,0.0755300354941611,-0.020061052307546248,0.07378398033895037,0.009817388502853618,0.0,0.0,0.0
DecedatiRo,0.8108948880349383,0.49838632547679973,0.28422610825645483,0.07146905067382792,-0.01766226890633698,0.072762192128949,0.006708632882156853,0.0,0.0,0.0
DecedatiSubUnAn,0.42705538764438694,0.050171401738960765,0.8949876323203438,-0.03805107170181002,0.02025943887492103,0.005182971127278713,-0.00012986341132181228,0.0,0.0,0.0
NascutiMorti,0.44253160060868174,0.10060221114581136,0.6219065597057907,0.42947013642032866,0.013430212933256958,0.0016169826655693241,-3.440431607719121e-05,0.0,0.0,0.0
Casatorii,0.9220963506291671,0.20863787913797516,0.29521731849898125,0.09357531707596972,0.010361149943767325,-0.022334155213756982,-0.06897993742832817,0.0,0.0,0.0
Divorturi,0.8368396508308641,0.29539053828594813,0.33428156910802637,0.051404649586235696,0.30504856868776886,-0.0012137883389008795,-0.001250351316971787,0.0,0.0,0.0
SporNatural,-0.25515548997700344,-0.963492897719833,-0.049781707500254076,-0.027682612134445367,-0.012895170681238605,-0.003497059594019123,-0.009529222537963965,0.0,0.0,0.0
SporNaturalRez,-0.21596651200873612,-0.9721583532921171,-0.06178559410584942,-0.026188804168642648,-0.01954223918031331,0.005161293419331444,0.009679090388598561,0.0,0.0,0.0
