Judet,Index,NascutiVii,NascutiViiRo,Decedati,DecedatiRo,DecedatiSubUnAn,NascutiMorti,Casatorii,Divorturi,SporNatural,SporNaturalRez
Alba,ab,2732,2722,5049,5039,18,9,1239,343,-2317,-2317
Arad,ar,3806,3750,6895,6908,24,20,2226,478,-3089,-3158
Arges,ag,4919,4913,9115,9091,27,16,2112,767,-4196,-4178
Bacau,bc,5320,5289,9838,9813,32,21,2366,836,-4518,-4524
Bihor,bh,5446,5420,8504,8527,39,39,2449,793,-3058,-3107
Bistrita-Nasaud,bn,3060,3028,4059,4057,23,20,1100,169,-999,-1029
Botosani,bt,3500,3423,6542,6525,24,16,1531,389,-3042,-3102
Brasov,bv,5820,5840,7658,7640,45,14,2463,872,-3356,-3368
Braila,br,2110,2092,5466,5460,15,3,961,428,-1838,-1800
Buzau,bz,3218,3207,7322,7316,12,19,1522,380,-4104,-4109
Caras-Severin,cs,1929,1899,4662,4640,9,7,1076,290,-2484,-2592
Calarasi,cl,2453,2437,4937,5029,18,10,1159,340,-2733,-2741
Cluj,cj,6667,6627,9229,9202,33,10,2990,672,-2562,-2575
Constanta,ct,6263,6234,9589,9573,46,24,3110,984,-3326,-3339
Covasna,cv,2066,2036,2874,2892,18,13,709,218,-808,-856
Dambovita,db,4115,4002,7637,7702,19,18,1835,596,-3522,-3700
Dolj,dj,5288,5286,10141,10118,37,4,2136,476,-4853,-4832
Galati,gl,4279,4252,7893,7863,30,15,2243,808,-3614,-3611
Giurgiu,gr,2110,2096,4705,4817,10,5,1056,276,-2595,-2721
Gorj,gj,2414,2252,4638,4682,16,7,1256,482,-2224,-2430
Harghita,hr,2861,2854,4239,4226,23,16,939,282,-1378,-1372
Hunedoara,hd,2897,2889,7060,7010,17,16,1629,558,-4163,-4121
Ialomita,il,2322,2306,4414,4433,16,12,1074,383,-2092,-2127
Iasi,is,8772,8662,9987,9979,40,22,4029,1028,-1215,-1317
Ilfov,if,4488,4508,4812,4992,25,9,2424,524,-324,-484
Maramures,mm,4158,4116,6743,6721,31,16,1831,596,-2585,-2605
Mehedinti,mh,1876,1632,4058,4054,13,8,979,256,-2182,-2422
Mures,ms,5437,5415,8297,8286,48,32,2027,584,-2860,-2871
Neamt,nt,3925,3876,8018,7992,22,17,1605,624,-4093,-4116
Olt,ot,2930,2906,7091,7124,31,10,1274,243,-4161,-4218
Prahova,ph,5593,5541,12490,12490,31,20,2842,840,-6897,-6949
Satu Mare,sm,3054,3031,5020,5007,39,20,1303,388,-971,-1024
Salaj,sj,2431,2387,3402,3411,15,19,825,255,-1966,-1976
Sibiu,sb,3903,3891,5664,5679,28,7,1634,554,-1761,-1788
Suceava,sv,7532,7238,9473,9459,69,47,3393,774,-1941,-2221
Teleorman,tr,2303,2292,6665,6667,12,14,1082,400,-4362,-4375
Timis,tm,6683,6629,8597,8580,31,22,3298,736,-1914,-1951
Tulcea,tl,1582,1572,3426,3438,17,10,726,220,-1844,-1866
Vaslui,vs,3922,3857,5964,5937,15,11,1631,525,-1718,-1703
Valcea,vl,2492,2476,4210,4179,14,10,737,144,-2042,-2080
Vrancea,vn,2749,2714,5185,5191,12,10,1115,253,-2436,-2477
Municipiul Bucuresti,b,19184,19169,25777,25290,53,45,9407,2021,-6593,-6121
