Index,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
ab,-0.2941972714139228,-0.2868348500176721,-0.548348516281443,-0.18715814202530304,-0.26925911224101,-0.1258767768829662,-0.10356531508274094,0.0,0.0,0.0
ar,-0.13285492884187042,0.2340118894856842,-0.11456703356722309,0.5498441546602091,-0.41841430747530367,-0.5877070833392021,-2.0460801036532827,0.0,0.0,0.0
ag,0.10258552259527401,0.9823530205322786,-0.05376805963346781,-0.3446296029915072,1.0654257176461466,0.40798841228394334,1.021649911728802,0.0,0.0,0.0
bc,0.031436410988800796,1.21547769389963,0.39809988135981544,-0.08298041536819578,1.1886748396808657,0.39201888348679514,0.6977820062353722,0.0,0.0,0.0
bh,-0.07996118779278474,0.08272963032245405,1.181354999975633,1.1320143153949715,1.1092411179325525,0.23841343603094103,0.2956026794598992,0.0,0.0,0.0
bn,-0.3580097573290849,-1.2849119179253452,0.04787940900722418,0.6585018462994995,-1.6108383595806963,0.026264912622383747,0.4952585563233894,0.0,0.0,0.0
bt,-0.4082033454380453,0.27152132964532366,0.02436662746523793,0.30409462948571186,-0.722428528371993,0.037506735857565816,-0.05157278068616768,0.0,0.0,0.0
bv,0.014648242513288251,0.2800477238530749,1.4759694876640987,-1.389063254581795,1.5223395088591676,-2.768535308087566,0.9516871504912142,0.0,0.0,0.0
br,-0.12056381856110898,-0.6502270572884389,-0.9304113597787856,-0.6856721201604894,0.8954613560527195,3.0316558259374595,0.10032875237111008,0.0,0.0,0.0
bz,-0.31803090043607607,1.072814252995607,-1.0293292909201048,0.8658800169567894,-0.7741234915966017,0.03291322599407254,-0.05999741171519564,0.0,0.0,0.0
cs,-0.3209017374657222,-0.07247350532740203,-1.2923145247281407,-0.08356095837600049,-0.1352078347087057,0.015891047941075355,-0.8291828081027138,0.0,0.0,0.0
cl,-0.515068724530315,0.06745809502962957,-0.4631264976531556,-0.06950879872143903,-0.15093312363452513,-0.5416442960806902,-0.3014084554764063,0.0,0.0,0.0
cj,1.015507587950561,-0.4132717980438664,0.09143897593891294,-1.081650188512257,-0.9618986768324518,0.010293725872184105,0.2362435478063012,0.0,0.0,0.0
ct,0.3407793191684839,0.18536334797935675,1.4304890190810786,-0.49393873076658207,1.7569930487496337,-0.06264106602335905,-0.6839319323161468,0.0,0.0,0.0
cv,-0.4756290136089599,-1.3812453561225253,-0.36470596247309334,0.27096412376511025,-0.2564914532618937,-0.05002215798762956,0.4946869026875088,0.0,0.0,0.0
db,-0.008993655990122012,0.5949258385129601,-0.5820674413550653,0.4254321631878145,0.5155442620474424,0.12593654945279198,0.3517944223811941,0.0,0.0,0.0
dj,-0.16521917350816856,1.586652181378405,0.8339442742451144,-1.9627347994457145,-2.226232712221179,0.45168404243446125,0.6049994675324111,0.0,0.0,0.0
gl,-0.04625782082236921,0.5487459763998919,0.24140219374568742,-0.3180611518974333,1.9622414020136425,-0.1406101597996246,-0.6868265265195977,0.0,0.0,0.0
gr,-0.29339243407663684,0.021542900147642638,-1.2346069702740274,-0.5338144214810228,-0.4208971918451078,-0.28211160935936674,-0.49145417201993324,0.0,0.0,0.0
gj,-0.3293361112541345,-0.2930103194173061,-0.7048776939831275,0.08914712056263425,1.2790770316763245,-0.3111348226038583,-0.6418351074838109,0.0,0.0,0.0
hr,-0.42007235250174063,-1.0003574937154087,0.015041392419464889,0.2029712841328638,-0.5338706140283571,0.2068071560550785,1.050895930310701,0.0,0.0,0.0
hd,-0.459043815652984,1.0886245344499978,-0.6251894087001953,0.5429318276379063,0.9236069259481475,-0.17393981247426354,-0.813161580614581,0.0,0.0,0.0
il,-0.38339466531283894,-0.43683810774537246,-0.6563405529050343,0.14164686394007228,0.542024934583096,-0.1424633297221872,-0.05844545475235728,0.0,0.0,0.0
is,1.9427822740964007,-1.6799599202679536,0.35155682915579567,-0.31597783378218003,0.7831299836357618,-0.0838530428416701,0.37261837200662695,0.0,0.0,0.0
if,0.8751575629761619,-1.9905265184589855,-0.460946231157695,-1.326848129503855,0.08611340569026511,-0.8071545511384705,-1.568419002785606,0.0,0.0,0.0
mm,-0.13991211492510142,-0.18434066265530072,0.4574042555312288,-0.20806168921016352,0.5999143895668216,0.08224345689903288,0.2178348244849351,0.0,0.0,0.0
